hash,date,year_month,files,insertions,deletions,churn,entropy,num_authors,msg_len
f7983ae,2018-01-03,2018-01,1,1,1,2,0.0,1,51
2bec58f,2018-01-03,2018-01,0,1,1,0,0.0,1,79
3012d20,2018-01-04,2018-01,1,3,5,8,0.0,1,7
c2bac6d,2018-01-04,2018-01,0,10,8,0,0.0,1,82
c11fe5d,2018-01-04,2018-01,2,39,28,67,1.9861,1,75
0a33954,2018-01-04,2018-01,2,47,27,74,3.7775,1,76
54f3d21,2018-01-04,2018-01,0,39,29,0,0.0,1,100
26f413e,2018-01-04,2018-01,0,47,27,0,0.0,1,97
06f96df,2018-01-05,2018-01,2,10,2,12,3.3981,1,40
40745bb,2018-01-05,2018-01,0,10,2,0,0.0,1,94
ffca68f,2018-01-05,2018-01,1,8,16,24,0.0,1,39
333865e,2018-01-05,2018-01,1,10,2,12,0.0,1,42
eebc0ed,2018-01-05,2018-01,0,41,18,0,0.0,1,74
22e0723,2018-01-06,2018-01,2,3,16,19,3.8886,1,31
60eecb5,2018-01-06,2018-01,4,4,5,9,6.101,1,45
2433522,2018-01-06,2018-01,10,154,74,228,22.5167,1,72
3738f7f,2018-01-10,2018-01,2,58,39,97,5.6436,1,135
f2cf4d0,2018-01-10,2018-01,0,58,39,0,0.0,1,89
8bdf820,2018-01-10,2018-01,2,43,18,61,5.3282,1,37
2949306,2018-01-10,2018-01,0,43,18,0,0.0,1,86
87c2e12,2018-01-10,2018-01,7,129,83,211,18.1038,1,33
c3a9978,2018-01-10,2018-01,0,129,83,0,0.0,1,71
a964671,2018-01-14,2018-01,1,1,1,2,0.0,1,20
22708b0,2018-01-14,2018-01,0,1,1,0,0.0,1,71
a1d9ebe,2018-01-23,2018-01,5,61,4,65,10.2234,1,59
db5735c,2018-01-23,2018-01,1,1,1,2,0.0,1,75
2beedab,2018-01-22,2018-01,3,159,8,167,7.9927,1,39
8ff0cef,2018-01-23,2018-01,0,159,8,0,0.0,1,86
382b135,2018-01-23,2018-01,4,32,29,61,10.9411,1,22
0570393,2018-01-22,2018-01,1,3,3,6,0.0,1,29
e21abd9,2018-01-23,2018-01,0,67,7,0,0.0,1,106
213afec,2018-01-23,2018-01,3,13,16,27,3.6215,1,53
8a1f362,2018-01-23,2018-01,1,11,11,22,0.0,1,29
